index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
27,calle de Santander,L'Hort de Senabre ,Jesús,67.0,2,1,None,118.0
28,Carrer de Domingo Gómez,Torrefiel ,Rascanya,100.0,3,1,None,98.0
29,calle del Duque de Gaeta,Aiora ,Camins al Grau,65.0,2,1,None,85.5
2,Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,80.0,3,1,None,110.0
3,Avinguda de Burjasot,Les Tendetes ,Campanar,68.0,3,1,None,67.0
4,calle de Velázquez,Nou Moles ,L'Olivereta,123.0,4,2,None,130.0
6,calle de la Dama de Elche,Aiora ,Camins al Grau,98.0,3,1,None,119.0
7,calle del Arquitecto Alfaro,El Grau ,Poblats Marítims,80.0,3,1,None,119.0
9,calle del Compromiso de Caspe,La Raiosa ,Jesús,82.0,4,1,None,85.0
10,calle Parque de Nazaret,Natzaret ,Poblats Marítims,66.0,3,1,None,65.0
11,calle de Zapadores,Montolivet ,Quatre Carreres,80.0,3,1,None,125.0
12,Carrer del Poeta Maragall,La Raiosa ,Jesús,72.0,1,1,None,84.9
13,calle de Daroca,Orriols ,Rascanya,59.0,2,1,None,63.0
14,Torrefiel,Orriols ,Rascanya,91.0,2,1,None,95.0
15,calle San Juan de La Peña,Orriols ,Rascanya,76.0,3,1,None,40.0
16,calle de Pego,Benimàmet ,Pobles de l'Oest,112.0,3,2,None,127.9
17,Quatre Carreres ,Na Rovella ,Quatre Carreres,85.0,2,1,None,115.0
18,calle San Juan de La Peña,Orriols ,Rascanya,80.0,3,1,None,67.0
20,Carrer de Domingo Gómez,Torrefiel ,Rascanya,94.0,4,1,None,76.99
21,Carrer de Sant Joan Bosco,Orriols ,Rascanya,85.0,3,1,None,59.9
23,Quatre Carreres ,Montolivet ,Quatre Carreres,62.0,2,1,None,72.0
24,calle de Alcañiz,Torrefiel ,Rascanya,92.0,4,1,None,73.0
27,calle del Pintor Stolz,Nou Moles ,L'Olivereta,86.0,3,1,None,99.999
28,calle de Escalante,Beteró ,Poblats Marítims,81.0,2,1,None,110.0
0,calle de Torres,Nou Moles ,L'Olivereta,81.0,3,2,None,89.0
1,calle de Felipe Vives de Cañamás,El Cabanyal-El Canyamelar ,Poblats Marítims,89.0,3,1,None,103.0
2,calle Plaza Escultor Flrchina,Favara ,Patraix,107.0,4,1,None,120.0
3,calle de Juan de Celaya,La Creu Coberta ,Jesús,75.0,4,1,None,65.0
6,calle de Josep Grollo,Benicalap ,Benicalap,122.0,4,1,None,89.505
7,calle de Mosén Fenollar,Arrancapins ,Extramurs,75.0,3,1,None,125.0
9,Avinguda de la Malva,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,115.0
10,Pobles del Sud ,El Saler ,Pobles del Sud,69.0,2,1,None,125.0
11,calle del Ingeniero José Sirera,Sant Marcel·lí ,Jesús,95.0,3,1,None,124.5
12,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,62.0,1,1,None,83.0
13,Carrer de Lleida,Marxalenes ,La Saïdia,60.0,3,1,None,85.0
14,Avinguda de Tres Forques,Tres Forques ,L'Olivereta,75.0,2,2,None,96.0
15,Pobles del Sud ,El Perellonet ,Pobles del Sud,76.0,2,1,None,120.0
16,calle de Ramiro de Maeztu,Aiora ,Camins al Grau,90.0,3,1,None,125.0
17,Carrera de la Fonteta de Sant Lluís,En Corts ,Quatre Carreres,79.0,2,1,None,88.0
18,calle de La Puebla de Farnals,Ciutat Jardí ,Algirós,83.0,3,1,None,119.0
19,calle de San Juan de Dios,La Malva-rosa ,Poblats Marítims,55.0,2,1,None,79.0
20,calle del Pintor Stolz,Nou Moles ,L'Olivereta,79.0,3,1,None,89.0
22,Carrer del Doctor Jaime Segarra,Torrefiel ,Rascanya,71.0,2,1,None,100.0
23,Avenida de la Constitución,Sant Antoni ,La Saïdia,93.0,3,1,None,99.0
24,Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,60.0,2,1,None,48.0
25,L'hort de Senabre,L'Hort de Senabre ,Jesús,83.0,3,1,None,104.0
26,calle de Carrícola,L'Hort de Senabre ,Jesús,65.0,2,1,None,65.0
28,calle de Manzanera,Trinitat ,La Saïdia,70.0,3,1,None,98.0
0,Pobles del Sud ,El Perellonet ,Pobles del Sud,97.0,2,2,None,130.0
1,calle de la Virgen del Sufragio,El Cabanyal-El Canyamelar ,Poblats Marítims,72.0,2,1,None,127.0
3,calle del Rincón de Ademuz,Nou Moles ,L'Olivereta,61.0,2,1,None,90.0
5,Carrer de la Florista,Benicalap ,Benicalap,74.0,3,2,None,110.0
7,Carrer del Comte de Torrefiel,Torrefiel ,Rascanya,77.0,3,1,None,90.0
8,calle de Daroca,Orriols ,Rascanya,65.0,2,1,None,48.0
9,calle del Alcalde Cano Coloma,Aiora ,Camins al Grau,55.0,2,1,None,120.0
10,Carrer de Juan Ramón Jiménez,Malilla ,Quatre Carreres,1.0,1,1,None,125.0
11,Avinguda de Burjasot,Ciutat Fallera ,Benicalap,67.0,3,1,None,87.0
12,calle Pintor Juan Bautista Porcar,Torrefiel ,Rascanya,101.0,3,1,None,105.0
13,Els Orriols,Orriols ,Rascanya,71.0,3,1,None,55.0
14,Carretera de Moncada,Torrefiel ,Rascanya,82.0,3,2,None,115.0
15,calle de Antonio Ponz,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,129.0
17,calle de Ignacio de Zuloaga,La Punta ,Quatre Carreres,82.0,4,1,None,68.877
19,calle del Pintor Maella,La Creu del Grau ,Camins al Grau,76.0,2,2,None,82.0
20,calle del Arzobispo Company,El Cabanyal-El Canyamelar ,Poblats Marítims,58.0,3,1,None,124.9
21,calle del Ceramista Ros,Vara de Quart ,Patraix,81.0,3,1,None,114.0
22,Carrer del Comte de Torrefiel,Torrefiel ,Rascanya,60.0,3,1,None,65.0
23,calle de Joaquín Navarro,L'Hort de Senabre ,Jesús,75.0,2,1,None,79.5
24,calle de los Plátanos,Benicalap ,Benicalap,67.0,3,1,None,74.99
25,calle de Ribarroja,La Llum ,L'Olivereta,69.0,3,1,None,64.0
26,calle de la Democracia,Nou Moles ,L'Olivereta,71.0,3,1,None,85.0
27,calle de Mariano Cuber,Beteró ,Poblats Marítims,72.0,2,1,None,120.0
29,calle de Alcañiz,Torrefiel ,Rascanya,116.0,3,1,None,95.0
0,calle del Padre Viñas,Orriols ,Rascanya,62.0,3,1,None,63.0
1,Camino Viejo de Chirivella,Soternes ,L'Olivereta,71.0,3,1,None,59.0
2,calle de Francisco Falcons,Natzaret ,Poblats Marítims,78.0,3,1,None,75.8
3,calle de Ángel Villena,En Corts ,Quatre Carreres,105.0,3,2,None,129.0
4,calle de Fuerteventura,La Malva-rosa ,Poblats Marítims,80.0,3,2,None,125.0
5,Plaça de Salvador Allebnde,Torrefiel ,Rascanya,94.0,3,1,None,88.0
6,calle de Juan Castelló,Tormos ,La Saïdia,90.0,3,1,None,129.0
7,calle de la Gabarda,Benimàmet ,Pobles de l'Oest,67.0,3,1,None,55.39
8,Carrer de l'Escultor Piquer,Torrefiel ,Rascanya,105.0,4,2,None,130.5
9,Carrer de les Acàcies,Benicalap ,Benicalap,67.0,3,1,None,74.99
11,calle de Velázquez,Nou Moles ,L'Olivereta,100.0,3,2,None,107.5
12,calle de Calarredes,Les Tendetes ,Campanar,73.0,3,1,None,66.5
13,Carrera de la Fonteta de Sant Lluís,Fonteta de Sant Lluís ,Quatre Carreres,72.0,3,1,None,78.0
14,Avinguda de Burjasot,Marxalenes ,La Saïdia,73.0,3,1,None,117.0
15,calle del Padre Vicent,En Corts ,Quatre Carreres,61.0,2,1,None,97.0
16,Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,79.0,3,1,None,85.0
17,Carrer del Riu Cabriel,El Forn d'Alcedo ,Pobles del Sud,102.0,4,2,None,65.0
18,calle Fontanares,Patraix ,Patraix,109.0,3,2,None,119.0
20,calle Eperanza,Benimàmet ,Pobles de l'Oest,103.0,4,2,None,86.9
21,Carrer de Joan Piñol,Torrefiel ,Rascanya,64.0,2,1,None,69.0
23,Avinguda de Tres Forques,Vara de Quart ,Patraix,98.0,4,1,None,100.0
