index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
2,Carrer Illes Canàries,El Grau ,Poblats Marítims,102.0,4,1,None,125.0,None,None
4,Avinguda de Joan XXIII,Benicalap ,Benicalap,81.0,3,1,None,130.0,39.4903222,-0.3822995
5,Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,77.0,4,1,None,99.9,39.453683,-0.3901369
6,Carrer de Sant Joan Bosco,Orriols ,Rascanya,65.0,2,1,None,37.5,39.4974577,-0.3692689
7,Sant Marcel.Lí,La Creu Coberta ,Jesús,72.0,3,1,None,69.0,None,None
8,calle de Ángel Villena,Ciutat de les Arts i de les Ciències ,Quatre Carreres,108.0,3,2,None,129.0,None,None
9,calle Dr Waksman,En Corts ,Quatre Carreres,90.0,2,1,None,114.0,None,None
10,Avenida San Juan de La Peña,Orriols ,Rascanya,75.0,1,1,None,58.5,None,None
12,calle del Marino Albesa,Beteró ,Poblats Marítims,66.0,2,1,None,85.0,None,None
15,calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,87.0,39.4612806,-0.3395379
16,calle de Alabau,La Creu Coberta ,Jesús,102.0,3,2,None,85.0,None,None
18,calle de Daroca,Sant Antoni ,La Saïdia,70.0,2,1,None,64.5,None,None
20,calle de la Escotilla,El Perellonet ,Pobles del Sud,83.0,2,2,None,110.0,None,None
21,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,101.0,3,2,None,132.0,None,None
23,Benimaclet,Beniferri ,Pobles de l'Oest,65.0,3,1,None,130.0,None,None
25,calle de Sollana,Na Rovella ,Quatre Carreres,90.0,3,1,None,92.0,39.452137,-0.3694073
26,calle de Conchita Piquer,El Calvari ,Campanar,60.0,2,1,None,85.0,39.4864508,-0.3912568
28,calle de los Jurados,Tres Forques ,L'Olivereta,85.0,3,1,None,85.0,None,None
29,calle de la Reina,El Cabanyal-El Canyamelar ,Poblats Marítims,40.0,1,1,None,95.0,39.4732228,-0.328001
