index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
13,Plaça de Ramon Contreras I Mongrell,Orriols ,Rascanya,80.0,3,1,None,83.7,None,None
22,Carrer de Domingo Gómez,Torrefiel ,Rascanya,86.0,4,1,None,85.0,None,None
24,calle del Mondúber,Marxalenes ,La Saïdia,72.0,3,1,None,59.9,None,None
27,calle de Alcañiz,Torrefiel ,Rascanya,91.0,3,1,None,130.0,None,None
0,calle de La Puebla del Duc,Sant Antoni ,La Saïdia,72.0,3,1,None,102.0,None,None
8,Els Orriols,Orriols ,Rascanya,82.0,3,1,None,87.0,None,None
13,calle de la Sierra de Agullent,Ciutat Fallera ,Benicalap,83.0,3,1,None,70.0,None,None
15,calle del Poeta Navarro Cabanes,Nou Moles ,L'Olivereta,65.0,2,1,None,63.0,None,None
17,calle Ramón de Rocafull,El Cabanyal-El Canyamelar ,Poblats Marítims,64.0,3,1,None,85.0,None,None
20,*** Junto Al Puerto y Avda. del Puerto ***,El Grau ,Poblats Marítims,73.0,3,1,None,130.0,None,None
24,calle de Senda Secanet,Benimàmet ,Pobles de l'Oest,90.0,2,2,None,105.0,None,None
29,calle de la Gabarda,Benimàmet ,Pobles de l'Oest,67.0,3,1,None,55.39,None,None
6,calle de los Hermanos Villalonga,Benimaclet ,Benimaclet,80.0,3,1,None,89.0,None,None
8,Plaza Colonia Española Mexico,La Fontsanta ,L'Olivereta,69.0,2,1,None,45.0,None,None
11,calle del Progreso,El Cabanyal-El Canyamelar ,Poblats Marítims,43.0,1,1,None,129.0,None,None
16,calle Ramón de Rocafull,El Cabanyal-El Canyamelar ,Poblats Marítims,50.0,2,1,None,89.0,None,None
21,calle Alqueria de La Estrell,Marxalenes ,La Saïdia,73.0,3,1,None,85.0,None,None
25,Carrer Pego,Benimàmet ,Pobles de l'Oest,112.0,3,2,None,127.9,None,None
29,calle de Lugre,Tormos ,La Saïdia,69.0,3,1,None,84.0,None,None
9,calle de Alcalá de Chivert,Camí Real ,Jesús,75.0,3,1,None,75.0,None,None
18,calle Colonia Espñaola de Mejico,La Fontsanta ,L'Olivereta,61.0,2,1,None,48.0,None,None
23,calle de San José de Pignatelli,Benicalap ,Benicalap,82.0,3,1,None,110.0,None,None
28,calle Gimenez y Costa,La Torre ,Pobles del Sud,113.0,2,2,None,110.5,None,None
6,calle Burrull,El Carme ,Ciutat Vella,58.0,1,1,None,120.0,None,None
8,calle de José Benlliure,El Cabanyal-El Canyamelar ,Poblats Marítims,100.0,1,2,None,120.0,None,None
9,Carretera de Alba,Sant Marcel·lí ,Jesús,75.0,2,1,None,59.9,None,None
16,Camino del Molí de la Campaneta,Sant Isidre ,Patraix,2.5,5,2,None,85.0,None,None
18,calle de la Virgen de la Cabeza,Vara de Quart ,Patraix,116.0,2,2,None,105.0,None,None
19,calle Regino Mas,Ciutat Fallera ,Benicalap,61.0,2,1,None,59.2,None,None
20,calle de Giménez y Costa,Camí Real ,Jesús,89.0,4,1,None,55.0,None,None
21,calle Regino Mas,Benicalap ,Benicalap,76.0,2,1,None,77.0,None,None
27,Carrer de Domingo Gómez,Torrefiel ,Rascanya,96.0,4,1,None,78.0,None,None
3,Carretera de Alba,Sant Marcel·lí ,Jesús,75.0,2,1,None,45.0,None,None
5,calle Justo y Pastor 133,L'Illa Perduda ,Algirós,81.0,3,1,None,110.0,None,None
7,calle Ep Barraques de Llacer 3,Faitanar ,Pobles del Sud,77.0,2,1,None,122.1,None,None
15,calle de los Jurados,Tres Forques ,L'Olivereta,86.0,3,1,None,100.0,None,None
16,calle de Lugre,Tormos ,La Saïdia,72.0,3,1,None,84.0,None,None
17,calle de Vicente Puchol,Montolivet ,Quatre Carreres,130.0,3,1,None,65.0,None,None
20,Plaza Beatriz Civera,Sant Isidre ,Patraix,122.0,3,2,None,129.7,None,None
21,calle de Ángel Villena,Na Rovella ,Quatre Carreres,105.0,3,2,None,129.0,None,None
23,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,98.0,3,1,None,112.0,None,None
29,Avinguda de Burjasot,Beniferri ,Pobles de l'Oest,70.0,3,1,None,85.5,None,None
4,calle de los Rosales,Benicalap ,Benicalap,77.0,2,1,None,66.0,None,None
22,calle del Campamento,Benimàmet ,Pobles de l'Oest,56.0,1,1,None,49.0,None,None
2,Patraix,Tres Forques ,L'Olivereta,98.0,4,2,None,124.9,None,None
8,calle de la Isla de Hierro,La Malva-rosa ,Poblats Marítims,74.0,3,1,None,75.0,None,None
17,Carrer de Jacomart,Torrefiel ,Rascanya,85.0,3,1,None,103.0,None,None
24,calle del Castillo de Cullera,Camí Real ,Jesús,76.0,3,1,None,57.0,None,None
26,calle de Álvarez de Sotomayor,Camí Real ,Jesús,82.0,3,1,None,52.0,None,None
28,calle de la Cooperativa de San Fernando,La Raiosa ,Jesús,76.0,2,1,None,120.0,None,None
7,calle del Padre Luis Navarro,El Cabanyal-El Canyamelar ,Poblats Marítims,45.0,2,1,None,79.0,None,None
13,Ambulatorio ,Benimàmet ,Pobles de l'Oest,62.0,3,1,None,63.0,None,None
14,La Raiosa,La Creu Coberta ,Jesús,84.0,4,1,None,117.0,None,None
20,calle del Padre Viñas,Orriols ,Rascanya,65.0,2,1,None,67.0,None,None
1,calle de Matheu y Sanz,La Raiosa ,Jesús,54.0,3,1,None,61.0,None,None
11,calle Mayor de Nazaret,Natzaret ,Poblats Marítims,52.0,2,1,None,59.0,None,None
12,Carrer de la Serrería,Aiora ,Camins al Grau,73.0,2,1,None,91.5,None,None
13,calle Viver,Camí de Vera ,Benimaclet,72.0,3,1,None,101.0,None,None
18,calle de La Puebla del Duc,Sant Antoni ,La Saïdia,72.0,1,1,None,102.0,None,None
22,Carrer de Jacomart,Torrefiel ,Rascanya,85.0,3,1,None,82.0,None,None
24,calle Avenida Contitucion,Orriols ,Rascanya,114.0,1,1,None,108.0,None,None
27,Quatre Carreres,Russafa ,L'Eixample,100.0,3,1,None,108.0,None,None
0,calle Marino Pedro Andreu,L'Hort de Senabre ,Jesús,92.0,3,1,None,123.0,None,None
2,calle del Álamo,Benicalap ,Benicalap,41.0,2,1,None,48.0,None,None
5,Lolivereta,Sant Pau ,Campanar,100.0,4,1,None,125.0,None,None
