index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
21,V,L'Amistat ,Algirós,102.0,3,2,None,210.0
19,V,Albors ,Camins al Grau,99.0,3,1,None,160.0
18,Olivereta,Nou Moles ,L'Olivereta,120.0,4,2,None,159.0
17,V,La Creu del Grau ,Camins al Grau,82.0,3,2,None,145.0
16,V,Tres Forques ,L'Olivereta,101.0,3,2,None,167.0
15,V,Russafa ,L'Eixample,53.0,2,2,None,176.0
13,V,Sant Marcel·lí ,Jesús,129.0,3,2,None,180.0
11,V,Sant Marcel·lí ,Jesús,87.0,3,2,None,193.0
8,V,Albors ,Camins al Grau,118.0,4,2,None,160.0
7,V,El Cabanyal-El Canyamelar ,Poblats Marítims,53.0,3,2,None,150.0
6,Benicalap,Benicalap ,Benicalap,79.0,2,1,None,130.0
5,V,Natzaret ,Poblats Marítims,90.0,3,2,None,129.0
3,V,Torrefiel ,Rascanya,103.0,3,1,None,129.0
2,V,Campanar ,Campanar,70.0,3,1,None,130.0
1,V,Albors ,Camins al Grau,71.0,2,1,None,165.0
0,V,El Cabanyal-El Canyamelar ,Poblats Marítims,65.0,3,1,None,180.0
28,Olivereta,Nou Moles ,L'Olivereta,143.0,3,2,None,165.0
27,V,El Cabanyal-El Canyamelar ,Poblats Marítims,61.0,3,1,None,189.9
26,V,Malilla ,Quatre Carreres,115.0,3,2,None,200.0
23,V,El Cabanyal-El Canyamelar ,Poblats Marítims,76.0,2,1,None,195.0
22,V,El Cabanyal-El Canyamelar ,Poblats Marítims,70.0,1,1,None,170.0
21,V,El Cabanyal-El Canyamelar ,Poblats Marítims,61.0,3,1,None,189.9
20,V,El Mercat ,Ciutat Vella,42.0,1,1,None,160.0
18,V,La Creu del Grau ,Camins al Grau,92.0,3,1,None,150.0
17,V,Torrefiel ,Rascanya,56.0,1,1,None,150.0
16,V,L'Hort de Senabre ,Jesús,128.0,4,1,None,165.0
15,V,El Cabanyal-El Canyamelar ,Poblats Marítims,100.0,2,1,None,193.0
14,V,La Creu del Grau ,Camins al Grau,71.0,3,1,None,190.0
12,V,Albors ,Camins al Grau,90.0,3,1,None,124.9
8,Benicalap,Benicalap ,Benicalap,117.0,3,2,None,170.105
7,Patraix,Patraix ,Patraix,95.0,3,2,None,225.0
6,V,El Cabanyal-El Canyamelar ,Poblats Marítims,67.0,1,1,None,145.0
5,V,Campanar ,Campanar,63.0,2,1,None,148.0
4,V,Safranar ,Patraix,95.0,3,1,None,123.0
2,V,Sant Isidre ,Patraix,93.0,4,1,None,124.9
1,V,La Creu del Grau ,Camins al Grau,71.0,3,1,None,190.0
0,V,Campanar ,Campanar,114.0,4,2,None,220.0
26,V,L'Amistat ,Algirós,102.0,3,2,None,210.0
25,V,El Castellar-L'Oliveral ,Pobles del Sud,80.0,2,1,None,130.0
24,V,Sant Isidre ,Patraix,93.0,4,1,None,124.9
23,V,Sant Marcel·lí ,Jesús,91.0,2,2,None,129.0
21,V,La Malva-rosa ,Poblats Marítims,70.0,2,1,None,162.0
20,V,Campanar ,Campanar,65.0,2,1,None,165.0
18,V,Safranar ,Patraix,104.0,3,2,None,135.0
17,V,Campanar ,Campanar,84.0,2,1,None,137.99
15,V,El Cabanyal-El Canyamelar ,Poblats Marítims,104.0,4,1,None,180.0
14,V,L'Hort de Senabre ,Jesús,139.0,4,2,None,200.0
12,V,Campanar ,Campanar,119.0,4,2,None,220.0
10,Patraix,Sant Isidre ,Patraix,132.0,4,2,None,180.0
9,V,Malilla ,Quatre Carreres,101.0,3,1,None,199.0
8,Benimaclet,Benimaclet ,Benimaclet,85.0,2,1,None,130.0
7,V,La Malva-rosa ,Poblats Marítims,78.0,4,2,None,157.0
6,V,Nou Moles ,L'Olivereta,90.0,2,1,None,144.975
5,V,El Cabanyal-El Canyamelar ,Poblats Marítims,120.0,3,2,None,198.0
3,V,Nou Moles ,L'Olivereta,97.0,3,1,None,150.0
2,Benimaclet,Benimaclet ,Benimaclet,85.0,3,1,None,126.0
1,V,Benicalap ,Benicalap,103.0,3,2,None,199.9
29,V,El Mercat ,Ciutat Vella,112.0,4,3,None,197.0
28,V,La Malva-rosa ,Poblats Marítims,89.0,3,1,None,160.0
27,V,L'Hort de Senabre ,Jesús,93.0,2,1,None,199.0
26,V,La Creu del Grau ,Camins al Grau,62.0,2,1,None,124.8
25,V,Faitanar ,Pobles del Sud,101.0,2,2,None,167.0
24,V,L'Hort de Senabre ,Jesús,81.0,2,2,None,155.0
23,Olivereta,Nou Moles ,L'Olivereta,80.0,3,1,None,150.0
21,V,El Mercat ,Ciutat Vella,75.0,1,1,None,215.0
20,V,Benicalap ,Benicalap,59.0,1,1,None,140.0
19,V,El Mercat ,Ciutat Vella,70.0,1,1,None,170.0
18,V,Malilla ,Quatre Carreres,86.0,3,2,None,171.0
16,V,En Corts ,Quatre Carreres,91.0,3,1,None,149.0
14,V,La Malva-rosa ,Poblats Marítims,122.0,3,2,None,178.0
12,V,Nou Moles ,L'Olivereta,112.0,3,2,None,190.0
11,V,Benicalap ,Benicalap,91.0,3,1,None,159.9
10,V,Sant Isidre ,Patraix,132.0,4,2,None,180.0
9,V,El Mercat ,Ciutat Vella,75.0,1,1,None,215.0
8,V,El Cabanyal-El Canyamelar ,Poblats Marítims,104.0,4,1,None,180.0
7,Valencia,Benicalap ,Benicalap,117.0,3,2,None,170.105
6,V,L'Hort de Senabre ,Jesús,98.0,3,2,None,170.0
5,V,Benimaclet ,Benimaclet,83.0,3,1,None,125.0
4,V,La Malva-rosa ,Poblats Marítims,78.0,4,2,None,157.0
2,V,La Petxina ,Extramurs,36.0,1,1,None,160.0
1,V,Sant Isidre ,Patraix,93.0,3,2,None,155.001
0,V,La Malva-rosa ,Poblats Marítims,65.0,2,2,None,165.0
29,V,Campanar ,Campanar,107.0,3,2,None,190.0
28,V,Campanar ,Campanar,99.0,2,1,None,140.0
27,V,La Creu del Grau ,Camins al Grau,76.0,3,1,None,120.0
26,V,Benimaclet ,Benimaclet,110.0,4,2,None,220.0
24,V,El Cabanyal-El Canyamelar ,Poblats Marítims,69.0,2,1,None,120.0
23,V,Sant Antoni ,La Saïdia,100.0,3,2,None,160.001
21,V,Benicalap ,Benicalap,103.0,3,2,None,199.9
20,V,El Cabanyal-El Canyamelar ,Poblats Marítims,121.0,3,1,None,180.0
19,V,La Petxina ,Extramurs,38.0,1,1,None,135.0
17,V,Faitanar ,Pobles del Sud,122.0,3,2,None,175.0
15,V,Benicalap ,Benicalap,49.0,1,1,None,129.9
14,V,Torrefiel ,Rascanya,90.0,3,1,None,142.0
13,V,Sant Marcel·lí ,Jesús,129.0,3,2,None,180.0
12,Patraix,Sant Isidre ,Patraix,95.0,4,1,None,128.0
11,V,La Malva-rosa ,Poblats Marítims,86.0,2,1,None,172.0
10,V,Campanar ,Campanar,63.0,2,1,None,148.0
9,V,Tres Forques ,L'Olivereta,95.0,3,2,None,160.0
8,V,Montolivet ,Quatre Carreres,106.0,3,2,None,195.0
5,V,Benimaclet ,Benimaclet,69.0,3,1,None,126.0
4,V,Malilla ,Quatre Carreres,100.0,4,2,None,167.0
3,V,El Cabanyal-El Canyamelar ,Poblats Marítims,76.0,2,1,None,195.0
1,V,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,1,1,None,126.0
29,V,Campanar ,Campanar,109.0,3,2,None,175.0
28,Benimaclet,Benimaclet ,Benimaclet,109.0,4,2,None,199.0
27,V,Malilla ,Quatre Carreres,113.0,4,2,None,159.0
26,Olivereta,Nou Moles ,L'Olivereta,86.0,3,1,None,139.5
24,V,El Cabanyal-El Canyamelar ,Poblats Marítims,121.0,3,1,None,180.0
21,V,Tres Forques ,L'Olivereta,101.0,3,2,None,229.0
20,V,Benimaclet ,Benimaclet,83.0,3,1,None,125.0
19,V,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,1,1,None,126.0
18,V,Sant Isidre ,Patraix,106.0,2,1,None,125.0
16,V,Tres Forques ,L'Olivereta,132.0,4,2,None,150.0
15,V,Faitanar ,Pobles del Sud,87.0,4,2,None,140.0
14,V,El Cabanyal-El Canyamelar ,Poblats Marítims,70.0,3,1,None,129.0
13,V,L'Hort de Senabre ,Jesús,81.0,2,2,None,155.0
12,V,Safranar ,Patraix,104.0,3,2,None,135.0
11,V,Safranar ,Patraix,111.0,3,2,None,126.0
10,V,Nou Moles ,L'Olivereta,79.0,2,1,None,125.0
9,V,El Cabanyal-El Canyamelar ,Poblats Marítims,60.0,1,1,None,155.001
7,V,Albors ,Camins al Grau,70.0,3,1,None,125.0
6,V,La Petxina ,Extramurs,78.0,2,1,None,223.0
