index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
17,V,La Petxina ,Extramurs,187.0,6,2,None,280.0,39.4732871,-0.3915983
7,Benicalap,Benicalap ,Benicalap,125.0,3,2,None,227.0,39.4910435,-0.3895204
27,Benimaclet,Benimaclet ,Benimaclet,273.0,6,3,None,321.5,39.487148,-0.3566225
24,Benicalap,Benicalap ,Benicalap,66.0,2,1,None,250.0,39.4910435,-0.3895204
13,Benicalap,Benicalap ,Benicalap,76.0,2,2,None,240.0,39.4910435,-0.3895204
29,Valencia,El Pilar ,Ciutat Vella,153.0,3,2,None,297.5,39.4739726,-0.382343
26,Valencia,Sant Llorenç ,Rascanya,217.0,4,4,None,470.0,39.4927325,-0.3638872
26,Campanar,Campanar ,Campanar,74.0,2,1,None,235.0,39.4830398,-0.4006583
25,Campanar,Campanar ,Campanar,178.0,4,3,None,290.0,39.4830398,-0.4006583
8,Patraix,Patraix ,Patraix,131.0,2,2,None,232.0,39.4600547,-0.3932433
1,Patraix,Patraix ,Patraix,91.0,3,2,None,230.0,39.4600547,-0.3932433
9,Benicalap,Benicalap ,Benicalap,126.0,3,2,None,350.0,39.4910435,-0.3895204
14,Campanar,Campanar ,Campanar,130.0,3,2,None,427.0,39.4830398,-0.4006583
9,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,125.0,3,2,None,225.0,39.4701544,-0.3323547
8,Ciutat Vella,El Carme ,Ciutat Vella,60.0,1,1,None,220.0,39.4782212,-0.3810013
12,Benimaclet,Benimaclet ,Benimaclet,122.0,3,2,None,370.0,39.487148,-0.3566225
7,Extramurs,El Botànic ,Extramurs,138.0,3,2,None,263.0,39.4737042,-0.3853834
29,Extramurs,Arrancapins ,Extramurs,141.0,6,1,None,212.5,39.4665067,-0.3855
16,Patraix,Patraix ,Patraix,101.0,3,2,None,239.0,39.4600547,-0.3932433
7,V,Tres Forques ,L'Olivereta,101.0,3,2,None,229.0,39.4654122,-0.4024209
1,Extramurs,La Roqueta ,Extramurs,182.0,3,3,None,430.0,39.4669566,-0.3802721
22,Patraix,Patraix ,Patraix,120.0,3,2,None,255.0,39.4600547,-0.3932433
15,Benicalap,Benicalap ,Benicalap,125.0,3,2,None,210.0,39.4910435,-0.3895204
6,Ciutat Vella,La Seu ,Ciutat Vella,160.0,2,2,None,320.0,39.4770971,-0.3753143
1,Valencia,Russafa ,L'Eixample,229.0,6,2,None,395.0,39.4615201,-0.3725595
26,Patraix,Patraix ,Patraix,100.0,2,3,None,270.0,39.4600547,-0.3932433
17,Campanar,Campanar ,Campanar,110.0,3,2,None,420.0,39.4830398,-0.4006583
22,Patraix,Safranar ,Patraix,214.0,4,2,None,280.0,39.4576681,-0.3993935
14,Patraix,Vara de Quart ,Patraix,117.0,4,2,None,220.0,39.4600697,-0.4043545
11,Valencia,La Seu ,Ciutat Vella,100.0,3,2,None,300.0,39.4770971,-0.3753143
6,Valencia,Gran Via ,L'Eixample,90.0,3,2,None,295.0,39.4650722,-0.3659044
18,Campanar,Campanar ,Campanar,155.0,5,2,None,340.0,39.4830398,-0.4006583
5,Extramurs,La Petxina ,Extramurs,100.0,3,2,None,214.9,39.4732871,-0.3915983
2,Algirós,Ciutat Jardí ,Algirós,151.0,3,2,None,289.0,39.4712439,-0.3460483
0,Benimaclet,Benimaclet ,Benimaclet,195.0,4,2,None,365.0,39.487148,-0.3566225
18,Ciutat Vella,El Carme ,Ciutat Vella,95.0,4,1,None,274.95,39.4782212,-0.3810013
6,Campanar,Campanar ,Campanar,121.0,3,2,None,350.0,39.4830398,-0.4006583
5,Extramurs,El Botànic ,Extramurs,110.0,3,2,None,250.0,39.4737042,-0.3853834
20,El Pla del Real,Ciutat Universitària ,El Pla del Real,115.0,4,2,None,265.0,39.477985,-0.3601115
9,Patraix,Patraix ,Patraix,120.0,3,2,None,260.0,39.4600547,-0.3932433
28,Valencia,Sant Francesc ,Ciutat Vella,211.0,5,2,None,450.0,39.4701823,-0.3755728
18,Patraix,Patraix ,Patraix,152.0,3,2,None,235.0,39.4600547,-0.3932433
9,Campanar,Sant Pau ,Campanar,125.0,3,2,None,350.0,39.4877123,-0.4051598
2,Valencia,Torrefiel ,Rascanya,236.0,3,1,None,245.0,39.494647799999996,-0.376130279007177
29,Patraix,Patraix ,Patraix,117.0,3,3,None,215.0,39.4600547,-0.3932433
19,Benimaclet,Camí de Vera ,Benimaclet,118.0,3,2,None,249.5,39.4874111,-0.3534157
14,Patraix,Patraix ,Patraix,110.0,5,2,None,230.0,39.4600547,-0.3932433
10,Campanar,Campanar ,Campanar,124.0,4,2,None,219.0,39.4830398,-0.4006583
25,Benicalap,Benicalap ,Benicalap,89.0,3,2,None,215.0,39.4910435,-0.3895204
21,Benicalap,Benicalap ,Benicalap,160.0,3,2,None,265.0,39.4910435,-0.3895204
14,Valencia,Russafa ,L'Eixample,165.0,5,2,None,515.0,39.4615201,-0.3725595
9,Valencia,El Grau ,Poblats Marítims,140.0,3,2,None,248.0,39.4604681,-0.3375307
3,Ciutat Vella,La Seu ,Ciutat Vella,105.0,2,1,None,420.0,39.4770971,-0.3753143
23,Patraix,Patraix ,Patraix,334.0,4,3,None,415.0,39.4600547,-0.3932433
8,Patraix,Patraix ,Patraix,129.0,5,2,None,210.0,39.4600547,-0.3932433
7,Extramurs,Arrancapins ,Extramurs,148.0,5,2,None,277.0,39.4665067,-0.3855
27,Benimaclet,Benimaclet ,Benimaclet,149.0,4,2,None,220.0,39.487148,-0.3566225
17,Benicalap,Benicalap ,Benicalap,103.0,3,2,None,262.0,39.4910435,-0.3895204
12,Campanar,Sant Pau ,Campanar,120.0,3,2,None,350.0,39.4877123,-0.4051598
24,Campanar,Sant Pau ,Campanar,120.0,3,2,None,325.0,39.4877123,-0.4051598
9,Extramurs,La Petxina ,Extramurs,120.0,3,2,None,265.0,39.4732871,-0.3915983
0,Campanar,Campanar ,Campanar,138.0,4,2,None,215.0,39.4830398,-0.4006583
16,Patraix,Patraix ,Patraix,120.0,3,2,None,260.0,39.4600547,-0.3932433
8,Patraix,Patraix ,Patraix,115.0,2,1,None,260.0,39.4600547,-0.3932433
23,Valencia,Russafa ,L'Eixample,163.0,4,2,None,340.0,39.4615201,-0.3725595
0,Benimaclet,Benimaclet ,Benimaclet,115.0,4,2,None,290.0,39.487148,-0.3566225
16,Campanar,Campanar ,Campanar,125.0,4,2,None,240.0,39.4830398,-0.4006583
10,Benimaclet,Benimaclet ,Benimaclet,122.0,3,2,None,370.0,39.487148,-0.3566225
18,Extramurs,La Petxina ,Extramurs,105.0,3,2,None,267.0,39.4732871,-0.3915983
5,Campanar,Sant Pau ,Campanar,108.0,3,2,None,288.0,39.4877123,-0.4051598
11,Valencia,Russafa ,L'Eixample,113.0,4,2,None,250.0,39.4615201,-0.3725595
1,Campanar,Sant Pau ,Campanar,142.0,5,2,None,290.0,39.4877123,-0.4051598
24,Algirós,La Carrasca ,Algirós,100.0,3,2,None,360.0,39.4796238,-0.3444889
10,Ciutat Vella,Sant Francesc ,Ciutat Vella,95.0,3,2,None,229.9,39.4701823,-0.3755728
